id,lang,retweets,quotetweets,likecount,replycount,url,text
1.48722E+18,en,0,0,0,0,https://pbs.twimg.com/media/FKOnjUiWYAo0bWU.jpg,"NBA Fans Have Officially Lost Their Minds
🏀https://t.co/rGeUZKrf5t

🏀Stories, rumors: https://t.co/Wvr7w873zo #NBA #basketball https://t.co/gtgFTtFDem"
1.48722E+18,en,0,0,0,0,https://pbs.twimg.com/media/FKOjwN3WQAA0Fko.jpg,"Basketball Card Collection Job Lot - NBA - All Graded
🔗 https://t.co/LJ45FjqQWU
⸻⸻⸻
More info on Search &amp; Collect:
🔗 https://t.co/eH6DZQroyO
⸻⸻⸻
#SearchNCollect #eBay #Auction #GB #UnitedKingdom #Graded #SportsCards #TheHobby #SportCardSearch https://t.co/y6rruBZ6Wd"
1.48721E+18,en,9,1,32,13,https://pbs.twimg.com/media/FKOl1DqWUAAmtQK.jpg,"I’m excited to announce that @AlexHoopsYT and I are going to be starting our own weekly podcast!

We’ll be covering all things related to NBA basketball, and plan to produce content on the following platforms:

• Spotify 
• Apple Podcasts
• YouTube
• TikTok

All links below! https://t.co/PwnEDpS1rb"
1.48721E+18,en,0,0,0,0,https://pbs.twimg.com/media/FKOl1PVVcAMZjBz.jpg,"NBA 2022 LIVE: Denver Nuggets vs New Orleans Pelicans Live Stream
Pelicans @ Nuggets live
Watch Live Game: https://t.co/iZq7LWg3R6
Friday, January 28, 2022 | 8:00 PM EST https://t.co/LIlPQOiXAI"
1.48721E+18,en,0,0,0,0,https://pbs.twimg.com/media/FKOlxzsaIAADuiJ.jpg,"NBA 2022 LIVE: Los Angeles Lakers vs Charlotte Hornets Live Stream
Watch Live Game: https://t.co/kJ6kazmvW0
Friday, January 28, 2022 | 7:30 PM EST https://t.co/05mgiGkRWM"
1.48721E+18,en,0,0,0,0,https://pbs.twimg.com/media/FKOltnbakAIHKcL.jpg,"NBA 2022 LIVE: Boston Celtics vs Atlanta Hawks Live Stream | Celtics @ Hawks
Watch Live Game: https://t.co/eO6fGa07xi
Friday, January 28, 2022 | 7:30 PM EST https://t.co/jA8UkDAeZo"
1.48721E+18,en,0,0,0,0,https://pbs.twimg.com/media/FKOlpUiUcAAAVde.jpg,"NBA 2022 LIVE: Detroit Pistons vs Orlando Magic Live Stream
Orlando Magic vs Detroit Pistons live
Watch Live Game: https://t.co/Ebc2BCWGEQ
Friday, January 28, 2022 | 7:00 PM EST https://t.co/vJNf6Z0ytl"
1.48721E+18,en,0,0,0,0,https://pbs.twimg.com/media/FKOlRcTWYAc60R7.jpg,NBA: Joel Embiid rolling as 76ers prepare for frustrated Kings - https://t.co/GJOelnJZsw https://t.co/CXPtIysntw
1.48721E+18,en,0,0,0,0,https://pbs.twimg.com/media/FKOlOv9VQAApJ2C.jpg,"NBA 2022 LIVE: Denver Nuggets vs New Orleans Pelicans Live Stream
Pelicans @ Nuggets live
Watch Live Game: https://t.co/zuBIp7xLaV
Friday, January 28, 2022 | 8:00 PM EST https://t.co/vpAwFVXp4J"
1.48721E+18,en,0,0,0,0,https://pbs.twimg.com/media/FKOlLO8UYAUt4nZ.jpg,"NBA 2022 LIVE: Los Angeles Lakers vs Charlotte Hornets Live Stream
Watch Live Game: https://t.co/WUGpDAJTfu
Friday, January 28, 2022 | 7:30 PM EST
#NBA75 #NBAPicks #NBA #NBAAllStar  #Hornets #LakersNation #lakerswin https://t.co/HcUPUOLrZC"
